name,date,m,n,d,solution_id,algorithm,objectiveValue,objectiveFunction,job,operation,machine,processing_time,starttime,endtime,microruns,timeSeconds,memoryBytes,metadata,status
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,3,7,3,10,48,58,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,3,8,4,6,58,64,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,3,9,4,2,64,66,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,3,10,4,2,66,68,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,4,1,1,4,0,4,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,4,2,1,9,4,13,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,4,3,3,1,13,14,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,4,4,1,8,25,33,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,4,5,3,9,33,42,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,4,6,2,7,54,61,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
